Order ID,Transaction ID,Date,Time,Product Name,Product Price,Quantity,Subtotal,Discount Amount,Tax Amount,Total Amount,Customer Name,Customer Email,Payment Status,Payment Method,Referral Source,Customer IP Address,Billing Address 1,Billing Address 2,Billing City,Billing State,Billing Zip Code,Billing Country
STAN-20241201-001,TRX-20241201-001,2024-12-01,09:15:32,Wireless Earbuds Pro,89.99,1,89.99,0.00,11.70,101.69,John Smith,john.smith@email.com,Succeeded,Credit Card,Instagram,192.168.1.100,123 Main St,,Toronto,ON,M5V 3A8,Canada
STAN-20241201-002,TRX-20241201-002,2024-12-01,14:22:18,Phone Case Premium,24.99,2,49.98,5.00,5.85,50.83,Sarah Johnson,sarah.j@gmail.com,Succeeded,Credit Card,TikTok,10.0.0.45,456 Oak Ave,Apt 2B,Vancouver,BC,V6B 1A1,Canada
STAN-20241202-003,TRX-20241202-003,2024-12-02,11:45:12,Wireless Earbuds Pro,89.99,1,89.99,0.00,11.70,101.69,Mike Wilson,mike.w@outlook.com,Succeeded,Credit Card,Direct,172.16.0.25,789 Pine Rd,,Calgary,AB,T2P 1J9,Canada
STAN-20241202-004,TRX-20241202-004,2024-12-02,16:30:45,Screen Protector,19.99,1,19.99,0.00,2.60,22.59,Lisa Chen,lisa.chen@yahoo.com,Succeeded,Credit Card,Instagram,203.0.113.15,321 Elm St,,Montreal,QC,H3A 0G4,Canada
STAN-20241203-005,TRX-20241203-005,2024-12-03,10:12:33,Phone Case Premium,24.99,1,24.99,0.00,3.25,28.24,David Brown,d.brown@hotmail.com,Succeeded,Credit Card,TikTok,198.51.100.1,654 Maple Dr,,Ottawa,ON,K1A 0A6,Canada
STAN-20241203-006,TRX-20241203-006,2024-12-03,19:55:21,Charging Cable USB-C,15.99,3,47.97,0.00,6.24,54.21,Emma Davis,emma.davis@gmail.com,Succeeded,Credit Card,YouTube,10.1.1.50,987 Cedar Ln,Unit 5,Edmonton,AB,T5J 0N7,Canada
STAN-20241204-007,TRX-20241204-007,2024-12-04,13:20:16,Wireless Earbuds Pro,89.99,2,179.98,20.00,20.80,180.78,Alex Taylor,alex.taylor@email.com,Succeeded,Credit Card,Instagram,192.0.2.100,147 Birch Ave,,Winnipeg,MB,R3C 0V8,Canada
STAN-20241204-008,TRX-20241204-008,2024-12-04,17:45:09,Screen Protector,19.99,2,39.98,0.00,5.20,45.18,Rachel Green,rachel.g@outlook.com,Failed,Credit Card,Direct,172.20.10.5,258 Spruce St,,Halifax,NS,B3H 1T8,Canada
STAN-20241205-009,TRX-20241205-009,2024-12-05,08:30:42,Phone Stand Adjustable,12.99,1,12.99,0.00,1.69,14.68,Kevin Lee,kevin.lee@gmail.com,Succeeded,Credit Card,TikTok,203.0.113.45,369 Willow Rd,,Quebec City,QC,G1R 2L3,Canada
STAN-20241205-010,TRX-20241205-010,2024-12-05,20:15:33,Charging Cable USB-C,15.99,1,15.99,0.00,2.08,18.07,Jennifer White,jen.white@yahoo.com,Succeeded,Credit Card,YouTube,10.2.2.75,741 Aspen Way,Suite 12,Victoria,BC,V8W 1P6,Canada
STAN-20241206-011,TRX-20241206-011,2024-12-06,12:40:55,Wireless Earbuds Pro,89.99,1,89.99,10.00,10.40,90.39,Thomas Garcia,t.garcia@hotmail.com,Succeeded,Credit Card,Instagram,198.18.0.25,852 Poplar St,,Saskatoon,SK,S7K 0J2,Canada
STAN-20241206-012,TRX-20241206-012,2024-12-06,15:25:18,Phone Case Premium,24.99,1,24.99,0.00,3.25,28.24,Amanda Martinez,amanda.m@gmail.com,Succeeded,Credit Card,Direct,172.25.15.40,963 Hickory Dr,,St. John's,NL,A1C 5M2,Canada
STAN-20241207-013,TRX-20241207-013,2024-12-07,09:50:27,Screen Protector,19.99,1,19.99,0.00,2.60,22.59,Daniel Rodriguez,dan.r@outlook.com,Succeeded,Credit Card,TikTok,10.3.3.90,159 Magnolia Ave,,Charlottetown,PE,C1A 7N8,Canada
STAN-20241207-014,TRX-20241207-014,2024-12-07,18:35:14,Charging Cable USB-C,15.99,2,31.98,0.00,4.16,36.14,Michelle Thompson,michelle.t@email.com,Succeeded,Credit Card,YouTube,203.0.113.80,357 Dogwood Ln,Apt 3A,Fredericton,NB,E3B 1G9,Canada
STAN-20241208-015,TRX-20241208-015,2024-12-08,11:18:45,Phone Stand Adjustable,12.99,2,25.98,0.00,3.38,29.36,Christopher Lee,chris.lee@gmail.com,Succeeded,Credit Card,Instagram,192.88.99.15,468 Redwood Blvd,,Yellowknife,NT,X1A 2L9,Canada
STAN-20241208-016,TRX-20241208-016,2024-12-08,16:42:38,Wireless Earbuds Pro,89.99,1,89.99,0.00,11.70,101.69,Stephanie Clark,steph.clark@yahoo.com,Succeeded,Credit Card,TikTok,172.30.20.60,579 Sycamore St,,Whitehorse,YT,Y1A 1A1,Canada
STAN-20241209-017,TRX-20241209-017,2024-12-09,14:05:22,Phone Case Premium,24.99,3,74.97,10.00,8.45,73.42,Matthew Lewis,matt.lewis@hotmail.com,Succeeded,Credit Card,Direct,10.4.4.25,681 Cottonwood Rd,Unit 8,Iqaluit,NU,X0A 0H0,Canada
STAN-20241209-018,TRX-20241209-018,2024-12-09,19:28:16,Screen Protector,19.99,1,19.99,0.00,2.60,22.59,Nicole Walker,nicole.w@gmail.com,Succeeded,Credit Card,YouTube,198.51.100.35,792 Beech Dr,,Toronto,ON,M4W 1J5,Canada
STAN-20241210-019,TRX-20241210-019,2024-12-10,10:33:41,Charging Cable USB-C,15.99,1,15.99,0.00,2.08,18.07,Ryan Hall,ryan.hall@outlook.com,Succeeded,Credit Card,Instagram,203.0.113.120,135 Chestnut Ave,,Vancouver,BC,V5K 0A2,Canada
STAN-20241210-020,TRX-20241210-020,2024-12-10,17:19:53,Phone Stand Adjustable,12.99,1,12.99,0.00,1.69,14.68,Lauren Allen,lauren.a@email.com,Succeeded,Credit Card,TikTok,172.35.25.85,246 Walnut St,Apt 4B,Calgary,AB,T3A 0R7,Canada
STAN-20241211-021,TRX-20241211-021,2024-12-11,13:47:29,Wireless Earbuds Pro,89.99,1,89.99,15.00,9.75,84.74,Brandon Young,brandon.y@gmail.com,Succeeded,Credit Card,Direct,10.5.5.40,358 Cherry Ln,,Montreal,QC,H2Y 1A6,Canada
STAN-20241211-022,TRX-20241211-022,2024-12-11,20:52:17,Phone Case Premium,24.99,2,49.98,0.00,6.50,56.48,Ashley King,ashley.king@yahoo.com,Succeeded,Credit Card,YouTube,192.168.2.50,469 Peach Rd,Suite 15,Ottawa,ON,K2P 1X9,Canada
STAN-20241212-023,TRX-20241212-023,2024-12-12,09:25:34,Screen Protector,19.99,2,39.98,0.00,5.20,45.18,Tyler Wright,tyler.w@hotmail.com,Succeeded,Credit Card,Instagram,198.18.0.75,571 Plum Dr,,Edmonton,AB,T6E 1V3,Canada
STAN-20241212-024,TRX-20241212-024,2024-12-12,15:38:48,Charging Cable USB-C,15.99,4,63.96,5.00,7.67,66.63,Megan Lopez,megan.lopez@gmail.com,Succeeded,Credit Card,TikTok,172.40.30.20,682 Pear Ave,Unit 9,Winnipeg,MB,R2H 0X4,Canada
STAN-20241213-025,TRX-20241213-025,2024-12-13,12:14:26,Phone Stand Adjustable,12.99,1,12.99,0.00,1.69,14.68,Justin Hill,justin.h@outlook.com,Succeeded,Credit Card,Direct,203.0.113.160,793 Apple St,,Halifax,NS,B3J 1S2,Canada
STAN-20241213-026,TRX-20241213-026,2024-12-13,18:57:39,Wireless Earbuds Pro,89.99,2,179.98,25.00,20.15,175.13,Samantha Scott,sam.scott@email.com,Succeeded,Credit Card,YouTube,10.6.6.65,147 Orange Blvd,,Quebec City,QC,G1K 7H8,Canada
STAN-20241214-027,TRX-20241214-027,2024-12-14,11:41:52,Phone Case Premium,24.99,1,24.99,0.00,3.25,28.24,Nathan Green,nathan.g@gmail.com,Succeeded,Credit Card,Instagram,192.88.99.90,258 Lemon Dr,Apt 6C,Victoria,BC,V9A 6W1,Canada
STAN-20241214-028,TRX-20241214-028,2024-12-14,16:29:15,Screen Protector,19.99,1,19.99,0.00,2.60,22.59,Kayla Adams,kayla.a@yahoo.com,Succeeded,Credit Card,TikTok,172.45.35.45,369 Lime Ave,,Saskatoon,SK,S7H 0Y5,Canada
STAN-20241215-029,TRX-20241215-029,2024-12-15,08:55:33,Charging Cable USB-C,15.99,1,15.99,0.00,2.08,18.07,Jordan Baker,jordan.b@hotmail.com,Succeeded,Credit Card,Direct,198.51.100.110,471 Grape St,Suite 18,St. John's,NL,A1B 2T7,Canada
STAN-20241215-030,TRX-20241215-030,2024-12-15,19:43:21,Phone Stand Adjustable,12.99,3,38.97,0.00,5.07,44.04,Taylor Nelson,taylor.n@gmail.com,Succeeded,Credit Card,YouTube,10.7.7.30,582 Berry Rd,,Charlottetown,PE,C1E 1J3,Canada
STAN-20241216-031,TRX-20241216-031,2024-12-16,14:17:48,Wireless Earbuds Pro,89.99,1,89.99,0.00,11.70,101.69,Austin Carter,austin.c@outlook.com,Succeeded,Credit Card,Instagram,203.0.113.200,693 Kiwi Dr,Unit 12,Fredericton,NB,E3A 8M6,Canada
STAN-20241216-032,TRX-20241216-032,2024-12-16,21:08:14,Phone Case Premium,24.99,1,24.99,0.00,3.25,28.24,Brooke Mitchell,brooke.m@email.com,Succeeded,Credit Card,TikTok,172.50.40.70,147 Mango Ave,,Yellowknife,NT,X1A 3R2,Canada
STAN-20241217-033,TRX-20241217-033,2024-12-17,10:22:37,Screen Protector,19.99,3,59.97,8.00,6.76,58.73,Hunter Perez,hunter.p@gmail.com,Succeeded,Credit Card,Direct,192.168.3.85,258 Papaya St,Apt 7D,Whitehorse,YT,Y1A 2B4,Canada
STAN-20241217-034,TRX-20241217-034,2024-12-17,17:54:26,Charging Cable USB-C,15.99,2,31.98,0.00,4.16,36.14,Sierra Roberts,sierra.r@yahoo.com,Succeeded,Credit Card,YouTube,198.18.0.125,369 Coconut Ln,,Iqaluit,NU,X0A 1H0,Canada
STAN-20241218-035,TRX-20241218-035,2024-12-18,13:36:19,Phone Stand Adjustable,12.99,1,12.99,0.00,1.69,14.68,Parker Turner,parker.t@hotmail.com,Succeeded,Credit Card,Instagram,10.8.8.55,471 Banana Rd,Suite 21,Toronto,ON,M5H 2N2,Canada
STAN-20241218-036,TRX-20241218-036,2024-12-18,20:11:42,Wireless Earbuds Pro,89.99,1,89.99,10.00,10.40,90.39,Avery Phillips,avery.p@gmail.com,Succeeded,Credit Card,TikTok,203.0.113.240,582 Pineapple Dr,,Vancouver,BC,V6J 1M8,Canada
STAN-20241219-037,TRX-20241219-037,2024-12-19,09:48:55,Phone Case Premium,24.99,2,49.98,5.00,5.85,50.83,Cameron Campbell,cam.campbell@outlook.com,Succeeded,Credit Card,Direct,172.55.45.95,693 Strawberry Ave,Unit 15,Calgary,AB,T2R 1K4,Canada
STAN-20241219-038,TRX-20241219-038,2024-12-19,16:33:28,Screen Protector,19.99,1,19.99,0.00,2.60,22.59,Peyton Parker,peyton.p@email.com,Succeeded,Credit Card,YouTube,192.88.99.140,147 Blueberry St,,Montreal,QC,H3G 1M5,Canada
STAN-20241220-039,TRX-20241220-039,2024-12-20,12:07:41,Charging Cable USB-C,15.99,1,15.99,0.00,2.08,18.07,Riley Evans,riley.e@gmail.com,Succeeded,Credit Card,Instagram,198.51.100.165,258 Raspberry Ln,Apt 8E,Ottawa,ON,K1Y 4W7,Canada
STAN-20241220-040,TRX-20241220-040,2024-12-20,18:49:17,Phone Stand Adjustable,12.99,2,25.98,0.00,3.38,29.36,Quinn Edwards,quinn.e@yahoo.com,Succeeded,Credit Card,TikTok,10.9.9.80,369 Cranberry Rd,,Edmonton,AB,T5A 0S1,Canada
STAN-20241221-041,TRX-20241221-041,2024-12-21,15:24:32,Wireless Earbuds Pro,89.99,1,89.99,0.00,11.70,101.69,Hayden Collins,hayden.c@hotmail.com,Succeeded,Credit Card,Direct,172.60.50.20,471 Blackberry Dr,Suite 24,Winnipeg,MB,R3T 2A9,Canada
STAN-20241221-042,TRX-20241221-042,2024-12-21,22:16:48,Phone Case Premium,24.99,1,24.99,0.00,3.25,28.24,River Stewart,river.s@gmail.com,Succeeded,Credit Card,YouTube,203.0.113.25,582 Gooseberry Ave,,Halifax,NS,B3L 4S6,Canada
STAN-20241222-043,TRX-20241222-043,2024-12-22,11:53:26,Screen Protector,19.99,1,19.99,0.00,2.60,22.59,Sage Morris,sage.m@outlook.com,Succeeded,Credit Card,Instagram,192.168.4.45,693 Elderberry St,Unit 18,Quebec City,QC,G1V 0A3,Canada
STAN-20241222-044,TRX-20241222-044,2024-12-22,19:38:13,Charging Cable USB-C,15.99,3,47.97,0.00,6.24,54.21,Phoenix Cook,phoenix.c@email.com,Succeeded,Credit Card,TikTok,198.18.0.190,147 Mulberry Ln,,Victoria,BC,V8R 6T2,Canada
STAN-20241223-045,TRX-20241223-045,2024-12-23,08:29:47,Phone Stand Adjustable,12.99,1,12.99,0.00,1.69,14.68,Rowan Bailey,rowan.b@gmail.com,Succeeded,Credit Card,Direct,10.10.10.25,258 Boysenberry Rd,Apt 9F,Saskatoon,SK,S7N 2V8,Canada
STAN-20241223-046,TRX-20241223-046,2024-12-23,17:45:59,Wireless Earbuds Pro,89.99,2,179.98,30.00,19.50,169.48,Aspen Rivera,aspen.r@yahoo.com,Succeeded,Credit Card,YouTube,172.65.55.70,369 Huckleberry Dr,,St. John's,NL,A1E 4P1,Canada
STAN-20241224-047,TRX-20241224-047,2024-12-24,14:12:34,Phone Case Premium,24.99,1,24.99,0.00,3.25,28.24,Sage Cooper,sage.cooper@hotmail.com,Succeeded,Credit Card,Instagram,203.0.113.85,471 Cloudberry Ave,Suite 27,Charlottetown,PE,C1A 4K8,Canada
STAN-20241224-048,TRX-20241224-048,2024-12-24,20:57:21,Screen Protector,19.99,2,39.98,0.00,5.20,45.18,Blake Richardson,blake.r@gmail.com,Succeeded,Credit Card,TikTok,192.88.99.210,582 Serviceberry St,,Fredericton,NB,E3C 1T4,Canada
STAN-20241225-049,TRX-20241225-049,2024-12-25,16:41:18,Charging Cable USB-C,15.99,1,15.99,0.00,2.08,18.07,Emery Cox,emery.cox@outlook.com,Succeeded,Credit Card,Direct,198.51.100.230,693 Dewberry Rd,Unit 21,Yellowknife,NT,X1A 1N5,Canada
STAN-20241225-050,TRX-20241225-050,2024-12-25,23:28:45,Phone Stand Adjustable,12.99,4,51.96,8.00,5.71,49.67,Charlie Ward,charlie.w@email.com,Succeeded,Credit Card,YouTube,10.11.11.50,147 Salmonberry Ln,,Whitehorse,YT,Y1A 6M1,Canada
