id,Created (UTC),Amount,Amount Refunded,Currency,Captured,Status,Customer ID,Customer Email,Description,Statement Descriptor,Card Brand,Card Last 4,Card Country,Payment Method Type,Payment Method ID,Billing Address Line 1,Billing Address Line 2,Billing Address City,Billing Address State,Billing Address Postal Code,Billing Address Country,Shipping Address Line 1,Shipping Address Line 2,Shipping Address City,Shipping Address State,Shipping Address Postal Code,Shipping Address Country,Fee,Net,Refund Reason,Disputed,Dispute Status,Invoice ID,Subscription ID,Balance Transaction ID,Livemode,metadata.order_id,
ch_1234567890abcdef01,2024-12-01 9:15,10169,0,cad,TRUE,succeeded,cus_ABC123DEF456,john.smith@email.com,Purchase: Wireless Earbuds Pro,WIRELESS EARBUDS,Visa,4242,CA,card,pm_1ABC2DEF3GHI4JKL,123 Main St,,Toronto,ON,M5V 3A8,Canada,123 Main St,,Toronto,ON,M5V 3A8,Canada,254.225,9914.775,,FALSE,,,,,txn_1DEF2GHI3JKL4MNO,TRUE,STAN-20241201-001
ch_1234567890abcdef02,2024-12-01 14:22,5083,0,cad,TRUE,succeeded,cus_GHI456JKL789,sarah.j@gmail.com,Purchase: Phone Case Premium,PHONE CASE,Mastercard,5555,CA,card,pm_2BCD3EFG4HIJ5KLM,456 Oak Ave,Apt 2B,Vancouver,BC,V6B 1A1,Canada,456 Oak Ave,Apt 2B,Vancouver,BC,V6B 1A1,Canada,127.075,4955.925,,FALSE,,,,,txn_2EFG3HIJ4KLM5NOP,TRUE,STAN-20241201-002
ch_1234567890abcdef03,2024-12-02 11:45,10169,0,cad,TRUE,succeeded,cus_JKL789MNO012,mike.w@outlook.com,Purchase: Wireless Earbuds Pro,WIRELESS EARBUDS,American Express,1234,CA,card,pm_3CDE4FGH5IJK6LMN,789 Pine Rd,,Calgary,AB,T2P 1J9,Canada,789 Pine Rd,,Calgary,AB,T2P 1J9,Canada,254.225,9914.775,,FALSE,,,,,txn_3FGH4IJK5LMN6OPQ,TRUE,STAN-20241202-003
ch_1234567890abcdef04,2024-12-02 16:30,2259,0,cad,TRUE,succeeded,cus_MNO012PQR345,lisa.chen@yahoo.com,Purchase: Screen Protector,SCREEN PROTECTOR,Visa,4321,CA,card,pm_4DEF5GHI6JKL7MNO,321 Elm St,,Montreal,QC,H3A 0G4,Canada,321 Elm St,,Montreal,QC,H3A 0G4,Canada,56.475,2202.525,,FALSE,,,,,txn_4GHI5JKL6MNO7PQR,TRUE,STAN-20241202-004
ch_1234567890abcdef05,2024-12-03 10:12,2824,0,cad,TRUE,succeeded,cus_PQR345STU678,d.brown@hotmail.com,Purchase: Phone Case Premium,PHONE CASE,Mastercard,9999,CA,card,pm_5EFG6HIJ7KLM8NOP,654 Maple Dr,,Ottawa,ON,K1A 0A6,Canada,654 Maple Dr,,Ottawa,ON,K1A 0A6,Canada,70.6,2753.4,,FALSE,,,,,txn_5HIJ6KLM7NOP8QRS,TRUE,STAN-20241203-005
ch_1234567890abcdef06,2024-12-03 19:55,5421,0,cad,TRUE,succeeded,cus_STU678VWX901,emma.davis@gmail.com,Purchase: Charging Cable USB-C,CHARGING CABLE,Visa,1111,CA,card,pm_6FGH7IJK8LMN9OPQ,987 Cedar Ln,Unit 5,Edmonton,AB,T5J 0N7,Canada,987 Cedar Ln,Unit 5,Edmonton,AB,T5J 0N7,Canada,135.525,5285.475,,FALSE,,,,,txn_6IJK7LMN8OPQ9RST,TRUE,STAN-20241203-006
ch_1234567890abcdef07,2024-12-04 13:20,18078,0,cad,TRUE,succeeded,cus_VWX901YZA234,alex.taylor@email.com,Purchase: Wireless Earbuds Pro,WIRELESS EARBUDS,American Express,7777,CA,card,pm_7GHI8JKL9MNO0PQR,147 Birch Ave,,Winnipeg,MB,R3C 0V8,Canada,147 Birch Ave,,Winnipeg,MB,R3C 0V8,Canada,451.95,17626.05,,FALSE,,,,,txn_7JKL8MNO9PQR0STU,TRUE,STAN-20241204-007
ch_1234567890abcdef08,2024-12-04 17:45,4518,0,cad,TRUE,failed,cus_YZA234BCD567,rachel.g@outlook.com,Purchase: Screen Protector,SCREEN PROTECTOR,Visa,2222,CA,card,pm_8HIJ9KLM0NOP1QRS,258 Spruce St,,Halifax,NS,B3H 1T8,Canada,258 Spruce St,,Halifax,NS,B3H 1T8,Canada,112.95,4405.05,insufficient_funds,FALSE,,,,,txn_8KLM9NOP0QRS1TUV,TRUE,STAN-20241204-008
ch_1234567890abcdef09,2024-12-05 8:30,1468,0,cad,TRUE,succeeded,cus_BCD567EFG890,kevin.lee@gmail.com,Purchase: Phone Stand Adjustable,PHONE STAND,Mastercard,3333,CA,card,pm_9IJK0LMN1OPQ2RST,369 Willow Rd,,Quebec City,QC,G1R 2L3,Canada,369 Willow Rd,,Quebec City,QC,G1R 2L3,Canada,36.7,1431.3,,FALSE,,,,,txn_9LMN0OPQ1RST2UVW,TRUE,STAN-20241205-009
ch_1234567890abcdef10,2024-12-05 20:15,1807,0,cad,TRUE,succeeded,cus_EFG890HIJ123,jen.white@yahoo.com,Purchase: Charging Cable USB-C,CHARGING CABLE,Visa,4444,CA,card,pm_0JKL1MNO2PQR3STU,741 Aspen Way,Suite 12,Victoria,BC,V8W 1P6,Canada,741 Aspen Way,Suite 12,Victoria,BC,V8W 1P6,Canada,45.175,1761.825,,FALSE,,,,,txn_0MNO1PQR2STU3VWX,TRUE,STAN-20241205-010
