id,Created (UTC),Amount,Amount Refunded,Currency,Captured,Status,Customer ID,Customer Email,Description,Statement Descriptor,Card Brand,Card Last 4,Card Country,Payment Method Type,Payment Method ID,Billing Address Line 1,Billing Address Line 2,Billing Address City,Billing Address State,Billing Address Postal Code,Billing Address Country,Shipping Address Line 1,Shipping Address Line 2,Shipping Address City,Shipping Address State,Shipping Address Postal Code,Shipping Address Country,Fee,Net,Refund Reason,Disputed,Dispute Status,Invoice ID,Subscription ID,Balance Transaction ID,Livemode,metadata.order_id
ch_c433108c4e405e6b72a4c147,2025-01-17 17:28,2599,0,cad,TRUE,succeeded,cus_62c685827361a6,alice.thomas69@example.com,Purchase: Phone Case,PHONE CASE,Visa,4242,US,card,pm_813f8d3886f37e1951591f16,778 Maple Blvd,,Toronto,ON,P3K 9R2,Canada,,,,,,65,64.975,2534.025,FALSE,,,,,txn_268962299863489823616670,TRUE,STAN-20250117-2121
ch_cb195e3477174620023ee087,2025-01-06 19:15,2599,0,cad,TRUE,succeeded,cus_7e44a9561081a9,tina.garcia70@yahoo.com,Purchase: Phone Case,PHONE CASE,Mastercard,4242,US,card,pm_fb2f6943801f95a5f57b1406,931 Oak Rd,,Ottawa,ON,Q9K 2T2,Canada,,,,,,65,64.975,2534.025,FALSE,,,,,txn_712852233845942200222165,TRUE,STAN-20250106-4444
ch_9c735d6428c0c4a45012579b,2025-01-08 7:38,5650,0,cad,TRUE,succeeded,cus_a6d0c411c97a44,peter.brown82@mail.com,Purchase: Wired Earphones,WIRED EARP,Amex,4242,US,card,pm_9050d2f8319f626c8b990924,576 Pine Ave,,Montreal,QC,A9B 3X1,Canada,,,,,,141,141.25,5508.75,FALSE,,,,,txn_017124976451639829285744,TRUE,STAN-20250108-7278
ch_c2741979b009f4d38c823057,2025-01-12 4:23,2260,0,cad,TRUE,succeeded,cus_d693f9c64c7811,mia.clark58@outlook.com,Purchase: AirPods Case,AIRPODS CA,Visa,4242,US,card,pm_d80d297d025175510696773a,684 Oak St,,Toronto,ON,N3F 1X1,Canada,,,,,,56,56.5,2203.5,FALSE,,,,,txn_528246473551522818987349,TRUE,STAN-20250112-9226
ch_f76b50e30349b14c330c69d8,2025-01-09 3:22,2599,0,cad,TRUE,succeeded,cus_2d833a693c0423,grace.davis42@gmail.com,Purchase: Phone Case,PHONE CASE,Mastercard,4242,CA,card,pm_77b31174092b7740e53a9926,542 Main Ave,,Calgary,AB,P3K 9R2,Canada,,,,,,65,64.975,2534.025,FALSE,,,,,txn_135541097223363653139886,TRUE,STAN-20250109-1748
ch_24d45d31481b23820257321e,2025-01-16 4:24,1356,0,cad,TRUE,succeeded,cus_d693f9c64c7811,mia.clark58@outlook.com,Purchase: Phone Wrap,PHONE WRAP,Mastercard,4242,US,card,pm_752a420b9231f82245b73678,684 Oak St,,Toronto,ON,N3F 1X1,Canada,,,,,,34,33.9,1322.1,FALSE,,,,,txn_367202330880313553255979,TRUE,STAN-20250116-2917
ch_739268686f061298c5453003,2025-01-13 1:52,2260,0,cad,TRUE,succeeded,cus_9135a4d7d173c3,olivia.anderson10@gmail.com,Purchase: AirPods Case,AIRPODS CA,Amex,4242,US,card,pm_49e355c328e3b3c3755b0a6e,123 Pine Blvd,,Vancouver,BC,K6L 1N1,Canada,,,,,,56,56.5,2203.5,FALSE,,,,,txn_839678129525287313886576,TRUE,STAN-20250113-1768
ch_6b91122a27b864a66e5f8f53,2025-01-25 23:25,2825,2825,cad,TRUE,refunded,cus_62c685827361a6,alice.thomas69@example.com,Purchase: Wired Earphones,WIRED EARP,Visa,4242,CA,card,pm_460e64906a6b8e390c58e809,778 Maple Blvd,,Toronto,ON,P3K 9R2,Canada,,,,,,71,70.625,2754.375,FALSE,,,,,txn_135965406568912803277663,TRUE,STAN-20250125-9614
ch_e39669527f61c6b3014a0982,2025-01-28 15:58,2599,0,cad,TRUE,succeeded,cus_4703b44b80267f,frank.taylor55@yahoo.com,Purchase: Phone Case,PHONE CASE,Mastercard,4242,US,card,pm_c17e089d5f7566270b240578,534 Maple Rd,,Montreal,QC,A9B 3X1,Canada,,,,,,65,64.975,2534.025,FALSE,,,,,txn_490587274438139783935398,TRUE,STAN-20250128-4433
ch_a1a457c667087b2886f4a86b,2025-01-27 7:07,2599,0,cad,TRUE,succeeded,cus_4703b44b80267f,frank.taylor55@yahoo.com,Purchase: Phone Case,PHONE CASE,Mastercard,4242,CA,card,pm_356a59b674b8822080352c8c,534 Maple Rd,,Montreal,QC,A9B 3X1,Canada,,,,,,65,64.975,2534.025,FALSE,,,,,txn_142750058737525380088924,TRUE,STAN-20250127-6286
ch_5976b91123408a2a7f5a28f7,2025-01-24 20:46,2260,0,cad,TRUE,succeeded,cus_6e676101c74261,uma.jackson37@gmail.com,Purchase: AirPods Case,AIRPODS CA,Amex,4242,US,card,pm_6d34b3c4378f7e8020524458,343 Pine Ln,,Calgary,AB,A9B 3X1,Canada,,,,,,56,56.5,2203.5,FALSE,,,,,txn_526435973719119561633519,TRUE,STAN-20250124-7835
ch_d6086f66316279e8c460d62a,2025-01-06 12:29,2260,0,cad,TRUE,succeeded,cus_5b7b9b2b516773,judy.moore25@outlook.com,Purchase: AirPods Case,AIRPODS CA,Visa,4242,CA,card,pm_b54d68e4c703b3d4f1347d48,929 Main St,,Vancouver,BC,Q9K 2T2,Canada,,,,,,56,56.5,2203.5,FALSE,,,,,txn_268962299863489823616670,TRUE,STAN-20250106-9302
ch_1361c4f4a3e2007e0c8b3687,2025-01-17 4:22,2599,0,cad,TRUE,succeeded,cus_6e676101c74261,uma.jackson37@gmail.com,Purchase: Phone Case,PHONE CASE,Mastercard,4242,US,card,pm_4a56c49806e30b8e9185a850,343 Pine Ln,,Calgary,AB,A9B 3X1,Canada,,,,,,65,64.975,2534.025,FALSE,,,,,txn_712852233845942200222165,TRUE,STAN-20250117-9159
ch_88b1390d40226b8015357e62,2025-01-23 5:07,2825,0,cad,TRUE,succeeded,cus_07757962450346,bob.smith27@yahoo.com,Purchase: Wired Earphones,WIRED EARP,Amex,4242,CA,card,pm_09135a4d7d173c3f25287313,457 Oak Ave,,Edmonton,AB,N3F 1X1,Canada,,,,,,71,70.625,2754.375,FALSE,,,,,txn_017124976451639829285744,TRUE,STAN-20250123-5683
ch_11c34a91a9b2b11e2f9d3a77,2025-01-23 17:21,2599,0,cad,TRUE,succeeded,cus_2d833a693c0423,grace.davis42@gmail.com,Purchase: Phone Case,PHONE CASE,Visa,4242,US,card,pm_3e44a9561081a9f029058727,542 Main Ave,,Calgary,AB,P3K 9R2,Canada,,,,,,65,64.975,2534.025,FALSE,,,,,txn_528246473551522818987349,TRUE,STAN-20250123-2868
ch_d0c0a424240742d45c55359a,2025-01-15 19:15,1356,0,cad,TRUE,succeeded,cus_9135a4d7d173c3,olivia.anderson10@gmail.com,Purchase: Phone Wrap,PHONE WRAP,Mastercard,4242,CA,card,pm_d4f1347d4807757962450346,123 Pine Blvd,,Vancouver,BC,K6L 1N1,Canada,,,,,,34,33.9,1322.1,FALSE,,,,,txn_135541097223363653139886,TRUE,STAN-20250115-3882
ch_3c17e089d5f7566270b24057,2025-01-21 11:43,2260,0,cad,FALSE,pending,cus_c17e089d5f7566,kyle.harris1@mail.com,Purchase: AirPods Case,AIRPODS CA,Amex,4242,US,card,pm_5d2b516773f2528731388657,449 Elm Blvd,,Edmonton,AB,P3K 9R2,Canada,,,,,,0,56.5,2203.5,FALSE,,,,,TRUE,STAN-20250121-7290,
ch_c460d62a2689622998634898,2025-01-23 21:18,2599,0,cad,TRUE,succeeded,cus_813f8d3886f37e,charlie.smith50@outlook.com,Purchase: Phone Case,PHONE CASE,Visa,4242,CA,card,pm_62c685827361a66b91122a27,330 Main St,,Montreal,QC,Q9K 2T2,Canada,,,,,,65,64.975,2534.025,FALSE,,,,,txn_367202330880313553255979,TRUE,STAN-20250123-9372
ch_c34a91a9b2b11e2f9d3a77b8,2025-01-14 3:36,2825,0,cad,TRUE,succeeded,cus_07757962450346,bob.smith27@yahoo.com,Purchase: Wired Earphones,WIRED EARP,Mastercard,4242,US,card,pm_9135a4d7d173c3f252873138,457 Oak Ave,,Edmonton,AB,N3F 1X1,Canada,,,,,,71,70.625,2754.375,FALSE,,,,,txn_839678129525287313886576,TRUE,STAN-20250114-1786
ch_11e2f9d3a77b864a66e5f8f5,2025-01-15 2:46,2599,0,cad,TRUE,succeeded,cus_d0c0a424240742,liam.wilson70@outlook.com,Purchase: Phone Case,PHONE CASE,Amex,4242,CA,card,pm_6b91122a27b864a66e5f8f53,528 Main St,,Calgary,AB,N3F 1X1,Canada,,,,,,65,64.975,2534.025,FALSE,,,,,txn_135965406568912803277663,TRUE,STAN-20250115-3363
ch_8d3886f37e1951591f167e44,2025-01-11 4:20,1356,0,cad,TRUE,succeeded,cus_a6d0c411c97a44,peter.brown82@mail.com,Purchase: Phone Wrap,PHONE WRAP,Visa,4242,US,card,pm_7e44a9561081a9f029058727,576 Pine Ave,,Montreal,QC,A9B 3X1,Canada,,,,,,34,33.9,1322.1,FALSE,,,,,txn_490587274438139783935398,TRUE,STAN-20250111-2673
ch_a9561081a9f0290587274438,2025-01-20 1:13,2260,0,cad,TRUE,succeeded,cus_62c685827361a6,sam.miller91@gmail.com,Purchase: AirPods Case,AIRPODS CA,Mastercard,4242,CA,card,pm_4703b44b80267f813f8d3886,401 Main Rd,,Vancouver,BC,N3F 1X1,Canada,,,,,,56,56.5,2203.5,FALSE,,,,,txn_142750058737525380088924,TRUE,STAN-20250120-7634
ch_b44b80267f813f8d3886f37e,2025-01-04 1:50,2599,0,cad,TRUE,succeeded,cus_cb195e34771746,heidi.williams79@yahoo.com,Purchase: Phone Case,PHONE CASE,Amex,4242,US,card,pm_6e676101c74261c34a91a9b2,326 Elm Ave,,Calgary,AB,Q9K 2T2,Canada,,,,,,65,64.975,2534.025,FALSE,,,,,txn_526435973719119561633519,TRUE,STAN-20250104-5853
ch_3d4f1347d480775796245034,2025-01-28 16:16,2825,0,cad,TRUE,succeeded,cus_6e676101c74261,uma.jackson37@gmail.com,Purchase: Wired Earphones,WIRED EARP,Visa,4242,CA,card,pm_07757962450346086f663162,343 Pine Ln,,Calgary,AB,A9B 3X1,Canada,,,,,,71,70.625,2754.375,FALSE,,,,,txn_268962299863489823616670,TRUE,STAN-20250128-8745
ch_a1a457c667087b2886f4a86b,2025-01-19 10:20,2599,2599,cad,TRUE,refunded,cus_1361c4f4a3e200,victor.thomas37@outlook.com,Purchase: Phone Case,PHONE CASE,Mastercard,4242,US,card,pm_5b7b9b2b516773f252873138,307 Main St,,Vancouver,BC,K6L 1N1,Canada,,,,,,65,64.975,2534.025,FALSE,,,,,txn_712852233845942200222165,TRUE,STAN-20250119-9430
ch_1361c4f4a3e2007e0c8b3687,2025-01-07 18:31,1356,0,cad,TRUE,succeeded,cus_d6086f66316279,quinn.smith48@example.com,Purchase: Phone Wrap,PHONE WRAP,Amex,4242,CA,card,pm_9135a4d7d173c3f252873138,799 Main St,,Toronto,ON,N3F 1X1,Canada,,,,,,34,33.9,1322.1,FALSE,,,,,txn_017124976451639829285744,TRUE,STAN-20250107-1605
ch_5b7b9b2b516773f252873138,2025-01-01 17:29,2260,0,cad,TRUE,succeeded,cus_813f8d3886f37e,charlie.smith50@outlook.com,Purchase: AirPods Case,AIRPODS CA,Visa,4242,US,card,pm_62c685827361a66b91122a27,330 Main St,,Montreal,QC,Q9K 2T2,Canada,,,,,,56,56.5,2203.5,FALSE,,,,,txn_528246473551522818987349,TRUE,STAN-20250101-7293
ch_d6086f66316279e8c460d62a,2025-01-10 3:32,2599,0,cad,TRUE,succeeded,cus_2d833a693c0423,grace.davis42@gmail.com,Purchase: Phone Case,PHONE CASE,Mastercard,4242,CA,card,pm_3e44a9561081a9f029058727,542 Main Ave,,Calgary,AB,P3K 9R2,Canada,,,,,,65,64.975,2534.025,FALSE,,,,,txn_135541097223363653139886,TRUE,STAN-20250110-8547
